sample_name	bam	population	colony	het
SRR5221715	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221715_minq20.nocig.realigned.bam	unclassified	C_3498	6.416378070338099e-5
SRR5221716	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221716_minq20.nocig.realigned.bam	unclassified	C_3175	4.5279090892973866e-4
SRR5221717	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221717_minq20.nocig.realigned.bam	unclassified	C_3175	7.678289766810409e-5
SRR5221718	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221718_minq20.nocig.realigned.bam	unclassified	C_3175	1.0972323763374003e-4
SRR5221719	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221719_minq20.nocig.realigned.bam	unclassified	C_3173	4.067866362852949e-4
SRR5221720	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221720_minq20.nocig.realigned.bam	unclassified	C_3173	1.2302488240875542e-4
SRR5221721	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221721_minq20.nocig.realigned.bam	unclassified	C_3173	9.204661055038876e-5
SRR5221722	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221722_minq20.nocig.realigned.bam	unclassified	C_3172	2.59116034319147e-4
SRR5221723	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221723_minq20.nocig.realigned.bam	unclassified	C_3172	7.14324472549629e-5
SRR5221724	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221724_minq20.nocig.realigned.bam	unclassified	C_3172	6.563377902265093e-5
SRR5221725	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221725_minq20.nocig.realigned.bam	unclassified	C_3169	1.1661775563317449e-4
SRR5221726	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221726_minq20.nocig.realigned.bam	unclassified	C_3169	1.68568494896367e-4
SRR5221727	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221727_minq20.nocig.realigned.bam	unclassified	C_3169	8.22641913502463e-5
SRR5221728	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221728_minq20.nocig.realigned.bam	unclassified	C_3169	8.82455238705717e-5
SRR5221729	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221729_minq20.nocig.realigned.bam	unclassified	C_3165	8.837639089781102e-4
SRR5221730	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221730_minq20.nocig.realigned.bam	unclassified	C_3165	9.785815693518941e-5
SRR5221731	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221731_minq20.nocig.realigned.bam	unclassified	C_3165	5.511779420999251e-5
SRR5221732	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221732_minq20.nocig.realigned.bam	unclassified	C_3164	1.1508609013251682e-4
SRR5221733	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221733_minq20.nocig.realigned.bam	unclassified	C_3164	9.176390482649815e-5
SRR5221734	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221734_minq20.nocig.realigned.bam	unclassified	C_3164	7.061794583808417e-5
SRR5221735	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221735_minq20.nocig.realigned.bam	unclassified	C_3163	1.2837936319336996e-4
SRR5221736	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221736_minq20.nocig.realigned.bam	unclassified	C_3163	6.746180112262051e-5
SRR5221737	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221737_minq20.nocig.realigned.bam	unclassified	C_3163	1.0448570997480128e-4
SRR5221738	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221738_minq20.nocig.realigned.bam	unclassified	C_3162	1.3126900360091608e-4
SRR5221740	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221740_minq20.nocig.realigned.bam	unclassified	C_3162	7.270127366543208e-5
SRR5221741	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221741_minq20.nocig.realigned.bam	unclassified	C_3160	1.7778481668056064e-4
SRR5221742	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221742_minq20.nocig.realigned.bam	unclassified	C_3160	6.799654542203771e-5
