"sample_id","cleaned_id","species"
"SRR26417460","SRR26417460","Oedulis"
"SRR26417461","SRR26417461","Oedulis"
"SRR26417462","SRR26417462","Oedulis"
"SRR26417472","SRR26417472","Oedulis"
"SRR26417483","SRR26417483","Oedulis"
"SRR26417491","SRR26417491","Oedulis"
"SRR26417502","SRR26417502","Oedulis"
"SRR26417526","SRR26417526","Oedulis"
"SRR26417588","SRR26417588","Oedulis"
"SRR26417599","SRR26417599","Oedulis"
"SRR26417608","SRR26417608","Oedulis"
"SRR26417619","SRR26417619","Oedulis"
"SRR26417631","SRR26417631","Oedulis"
"SRR26417632","SRR26417632","Oedulis"
"SRR26417633","SRR26417633","Oedulis"
"SRR26417634","SRR26417634","Oedulis"
"SRR26417635","SRR26417635","Oedulis"
"SRR26417636","SRR26417636","Oedulis"
"SRR26417646","SRR26417646","Oedulis"
"SRR26417662","SRR26417662","Oedulis"
"SRR26417673","SRR26417673","Oedulis"
"SRR26417674","SRR26417674","Oedulis"
"SRR26417681","SRR26417681","Oedulis"
"SRR26417692","SRR26417692","Oedulis"
