sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
unclassified-kra_SRR26416982_.hist	452764031	91014705	19381390	6899923	3785120	2406004	1648404	1472499	1044939	532918	258025	266929	371112	612766	436111	138761	79991	34623	72889	179419	338902	167022	72375	21177	7062	22598	53784	143423	153446	76722	22731	6753	2700	310	97	5	120162	166160	33231	1845	614	250	132	48	7	1	0	0	0	253626
unclassified-kra_SRR26417112_.hist	474402606	101941390	21664365	7685746	4188528	2667308	1649050	1473075	1336589	681659	330043	215266	299284	494167	586325	186557	107543	44808	79924	196737	371614	135725	58813	17208	15957	51064	121532	227388	75795	37896	11227	3335	1333	152	47	93879	177841	97003	19399	1076	357	145	76	27	3	0	0	0	0	303976
unclassified-kra_SRR26416948_.hist	457484261	95187750	21563590	7588009	4065160	2599348	1442844	1288874	1835257	935980	453179	223496	132227	218327	270886	391988	621773	275682	43857	23877	15486	16711	79379	154348	329822	183233	41374	13322	4439	2218	656	194	25351	76052	390784	24423	7020	3828	764	41	12	4	1	0	0	0	0	0	0	397872
unclassified-kra_SRR26417106_.hist	470798489	137485302	24918319	9030759	5094814	3204945	2216070	1088788	653561	747672	872138	732151	281092	191633	237766	344060	527154	219646	34942	47603	89916	147205	358054	104770	7523	24075	57297	152793	98582	49290	14603	29206	195272	22525	7166	446	127	68	146241	100519	33505	13730	7287	2731	454	150	66	21	6	258675
unclassified-kra_SRR26417113_.hist	478630212	100909494	20683393	7441916	4155071	2636055	2017863	1802532	722211	394448	460112	519925	722855	399593	206777	95580	151608	202392	353597	192513	124872	39021	54947	106841	228305	170897	38588	12425	4140	2069	271485	80665	32265	3721	1182	72	19	23316	260515	14472	4823	1975	1047	391	64	20	8	1	0	261503
unclassified-kra_SRR26417095_.hist	457521713	96968222	21896454	7738166	4184386	2665252	1745163	1558932	1541477	786152	380636	187720	242717	400765	497244	446791	257561	107316	17072	42022	79374	129947	448768	131314	7723	6411	15259	40690	195006	97502	28888	8582	3432	394	124	180113	136082	74225	14844	823	273	111	57	20	2	0	0	0	0	343091
unclassified-kra_SRR26417160_.hist	467171862	98105269	20773429	7453334	4143461	2628861	2027018	1810710	712966	410913	479318	541628	753029	416274	215408	86177	136694	182482	384172	230847	149737	46792	21239	41297	88245	282386	63763	20533	9487	132828	113515	33728	13490	1555	493	29	23668	273133	54625	3033	1010	413	218	80	12	3	0	0	0	286828
unclassified-kra_SRR26416995_.hist	450838765	110057324	23797094	8422405	4568452	2898186	1955493	1746817	811514	413871	432435	488651	679374	380768	197035	108322	171821	229375	297480	161960	105054	32828	52847	102757	219578	121987	27544	8869	2955	1476	229404	84347	33737	3890	1237	76	20	10	264313	19454	6483	2656	1408	527	86	27	11	2	0	254354
unclassified-kra_SRR26417249_.hist	484500793	95595513	21621141	7624058	4103247	2626233	1449148	1294505	1865747	951530	460708	227209	257631	425390	527798	342929	197687	82368	39851	98094	185288	303343	422183	123535	7265	4035	910	292	96	47	12	2	470425	169350	53883	3366	966	526	104	4	0	0	0	0	0	0	0	0	0	448775
unclassified-kra_SRR26417186_.hist	488727360	97657689	20711498	7397523	4081627	2599062	1740580	1554838	1348720	687846	333038	247563	344187	568308	565753	180011	103770	50655	106641	262500	387793	121184	52512	15364	12188	39001	92821	247523	130808	65403	19377	5756	2301	264	83	4	239687	130737	26146	1451	482	196	103	37	5	0	0	0	0	318271
unclassified-kra_SRR26417035_.hist	492457321	111254487	21644763	7838882	4418035	2788885	2439901	1198759	526567	602392	702672	794019	403147	222859	144786	209514	332331	443653	112745	61382	39814	41698	198067	385130	26736	14852	3352	1078	14015	196213	186694	55471	22187	2558	813	49	13	6	241701	48180	16059	6580	3492	1308	217	71	30	9	2	249255
unclassified-kra_SRR26417293_.hist	471492956	137611731	25967805	9431837	5320430	3346583	2334677	1147061	748152	855885	998365	714579	274346	224412	278436	402912	499163	207983	34717	85456	161417	264262	248505	72715	18702	59846	142432	154524	51507	25752	40451	80902	188270	21717	6909	430	122	66	180932	103242	34413	14102	7484	2805	466	154	68	21	6	299976
unclassified-kra_SRR26417456_.hist	470774582	106287401	20368553	7366606	4144186	2620097	2155958	1311465	516388	519430	605900	684666	463791	256383	132669	172584	273753	365453	154228	83968	54464	35797	170035	330624	19447	10803	2438	784	32082	281713	83469	24800	9919	1143	362	21	5	106772	190376	10575	3524	1443	765	285	46	14	5	0	0	261871
unclassified-kra_SRR26417172_.hist	462449250	100025381	22784718	7989543	4244670	2708140	1561966	1395285	1558059	794609	384730	208199	289460	477945	593005	188682	108769	45319	43222	106392	200963	329005	318045	93063	5473	3039	685	219	72	35	9	1	395754	172835	54992	3436	986	537	106	4	0	0	0	0	0	0	0	0	0	415354
unclassified-kra_SRR26417374_.hist	486930514	81022254	16178985	5864432	3309105	2099906	1700064	1518645	778543	397056	320303	361941	503208	497823	257608	81965	70086	93562	196972	298968	193924	60600	26259	9000	19231	61539	146462	189361	63119	31558	9349	2777	1109	127	39	56075	172772	94238	18846	1046	347	141	74	26	3	0	0	0	0	266184
