sample_name	species	population	bam
EU2-04-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-04-12.ragweed2021.realigned.bam
EU2-05-18	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-05-18.ragweed2021.realigned.bam
EU2-05-23	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-05-23.ragweed2021.realigned.bam
EU2-05-25	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-05-25.ragweed2021.realigned.bam
EU2-06-15D	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-06-15D.ragweed2021.realigned.bam
EU2-06-18	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-06-18.ragweed2021.realigned.bam
EU2-08-13	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-08-13.ragweed2021.realigned.bam
EU2-08-21	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-08-21.ragweed2021.realigned.bam
EU2-08-4	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-08-4.ragweed2021.realigned.bam
EU2-09-10	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-09-10.ragweed2021.realigned.bam
EU2-09-13	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-09-13.ragweed2021.realigned.bam
Eu2-09-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Eu2-09-1.ragweed2021.realigned.bam
EU2-10-10	Ambrosia_artemisiifolia	FRMontpellier	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-10.ragweed2021.realigned.bam
EU2-10-11	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-11.ragweed2021.realigned.bam
EU2-10-12	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-12.ragweed2021.realigned.bam
EU2-10-18	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-18.ragweed2021.realigned.bam
EU2-10-2	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-2.ragweed2021.realigned.bam
EU2-10-3	Ambrosia_artemisiifolia	FRMontpellier	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-3.ragweed2021.realigned.bam
EU2-10-4	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-4.ragweed2021.realigned.bam
EU2-10-5	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-5.ragweed2021.realigned.bam
EU2-10-7	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-7.ragweed2021.realigned.bam
EU2-10-9	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-10-9.ragweed2021.realigned.bam
EU2-12-13	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-12-13.ragweed2021.realigned.bam
EU2-14-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-14-12.ragweed2021.realigned.bam
EU2-14-13	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-14-13.ragweed2021.realigned.bam
EU2-14-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-14-1.ragweed2021.realigned.bam
EU2-16-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-16-12.ragweed2021.realigned.bam
EU2-16-13	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-16-13.ragweed2021.realigned.bam
EU2-16-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-16-1.ragweed2021.realigned.bam
