sample_title;Accession;sample_description;tissue_type;geographic location (region and locality)
BAL_22_HER051b;ERS11963864;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER051c;ERS11963865;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER052a;ERS11963866;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER052b;ERS11963867;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER054;ERS11963868;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER055a;ERS11963869;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER055b;ERS11963870;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER056a;ERS11963871;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER056b;ERS11963872;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER056c;ERS11963873;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER056d;ERS11963874;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER056e;ERS11963875;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER057a;ERS11963876;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER057b;ERS11963877;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER059a;ERS11963878;Baltic Autumn Spawning herring;bone;Kadriorg Wreck, Estonia, 14th century
BAL_22_HER059b;ERS11963879;Baltic Autumn Spawning herring;bone;Kadriorg Wreck, Estonia, 14th century
BAL_22_HER059c;ERS11963880;Baltic Autumn Spawning herring;bone;Kadriorg Wreck, Estonia, 14th century
BAL_22_HER110a;ERS11963881;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th century
BAL_22_HER110b;ERS11963882;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th century
BAL_22_HER111;ERS11963883;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th-11th century
