"","cleaned_id","rawreads","rawbases","adapterclipbases","mappedbases","dedupmappedbases","realignedmappedbases","sample_id","species","sample_title","sample_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)","population","coverage","error_rate","genome_length","read_length"
"29","ERR9709235",106429122,16070797422,9892548007,7853638404,7121125161,7121125161,"unclassified-kra_ERR9709235_","Clupea","BAL_22_M-HER038","SAMEA14369701","Clupea harengus","M-HER038",16070797422,"ERS11963929","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",14.1972814705328,0.00463414654010962,699478648,162
"30","ERR9709236",86071244,12996757844,7320910381,5841292920,5464556938,5464556938,"unclassified-kra_ERR9709236_","Clupea","BAL_22_M-HER039","SAMEA14369702","Clupea harengus","M-HER039",12996757844,"ERS11963930","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",9.82504687067605,0.00444006500335902,747549981,161
"31","ERR9709238",107269280,16197661280,10001850610,7919433955,7251832374,7251832374,"unclassified-kra_ERR9709238_","Clupea","BAL_22_M-HER045","SAMEA14369704","Clupea harengus","M-HER045",16197661280,"ERS11963932","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",14.7237750928978,0.005544644143188,681890027,159
"32","ERR9709240",115068048,17375275248,9388079010,7545685989,6970101940,6970101940,"unclassified-kra_ERR9709240_","Clupea","BAL_22_M-HER052","SAMEA14369706","Clupea harengus","M-HER052",17375275248,"ERS11963934","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",13.944485366828,0.00417442729564765,675612439,162
"33","ERR9709241",97602792,14738021592,9173147201,7270453142,6718672495,6718672495,"unclassified-kra_ERR9709241_","Clupea","BAL_22_M-HER053","SAMEA14369707","Clupea harengus","M-HER053",14738021592,"ERS11963935","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002","KARM",12.9730647979608,0.00492547597052051,709759955,160
"34","ERR9709242",119951934,18112742034,11512365427,9162123059,8303649377,8303649377,"unclassified-kra_ERR9709242_","Clupea","BAL_22_M-HER054","SAMEA14369708","Clupea harengus","M-HER054",18112742034,"ERS11963936","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",18.1038537027475,0.00418116495005871,638418544,163
"35","ERR9709243",117260454,17706328554,11082325190,8802146456,8043891590,8043891590,"unclassified-kra_ERR9709243_","Clupea","BAL_22_M-HER055","SAMEA14369709","Clupea harengus","M-HER055",17706328554,"ERS11963937","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",17.0637233415694,0.0046078458994776,652274151,160
"36","ERR9709244",122581166,18509756066,9603465115,7597272111,6983124229,6983124229,"unclassified-kra_ERR9709244_","Clupea","BAL_22_M-HER056","SAMEA14369710","Clupea harengus","M-HER056",18509756066,"ERS11963938","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI",13.8680595266802,0.00405392317238695,694687381,159
"37","ERR9709245",101390366,15309945266,7800681415,6158886803,5735786969,5735786969,"unclassified-kra_ERR9709245_","Clupea","BAL_22_M-HER057","SAMEA14369711","Clupea harengus","M-HER057",15309945266,"ERS11963939","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",10.9284154012272,0.00403293863332077,715770827,158
"38","ERR9709246",163349488,24665772688,12163862099,9644602866,8839587979,8839587979,"unclassified-kra_ERR9709246_","Clupea","BAL_22_M-HER058","SAMEA14369712","Clupea harengus","M-HER058",24665772688,"ERS11963940","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",18.4804576822022,0.00415478486915754,660537366,154
"39","ERR9709247",104300662,15749399962,6176426549,4790103451,4530372211,4530372211,"unclassified-kra_ERR9709247_","Clupea","BAL_22_M-HER059","SAMEA14369713","Clupea harengus","M-HER059",15749399962,"ERS11963941","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",7.49192718767638,0.00523733404530657,827765340,142
"40","ERR9709248",125165810,18900037310,11476139140,9198775689,8379106750,8379106750,"unclassified-kra_ERR9709248_","Clupea","BAL_22_M-HER061","SAMEA14369714","Clupea harengus","M-HER061",18900037310,"ERS11963942","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010","IDEI",17.9642768964653,0.00409789893959011,640371770,169
"41","ERR9709249",102840440,15528906440,7192641486,5647074700,5302165856,5302165856,"unclassified-kra_ERR9709249_","Clupea","BAL_22_M-HER062","SAMEA14369715","Clupea harengus","M-HER062",15528906440,"ERS11963943","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010","IDEI",9.69797970063864,0.00425610081555427,744406819,155
"42","ERR9709251",79504388,12005162588,4382263618,3356269289,3179182190,3179182190,"unclassified-kra_ERR9709251_","Clupea","BAL_22_M-HER064","SAMEA14369717","Clupea harengus","M-HER064",12005162588,"ERS11963945","Atlantic Spring Spawning herring","fin tip","Idefjord - Outer, Norway, 2010","IDEO",4.58200998491641,0.00605071005320789,960902431,140
"43","ERR9709252",121344850,18323072350,8330637582,6531569653,6055327874,6055327874,"unclassified-kra_ERR9709252_","Clupea","BAL_22_M-HER065","SAMEA14369718","Clupea harengus","M-HER065",18323072350,"ERS11963946","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",11.5334380132365,0.00513630634870909,724804833,151
"44","ERR9709253",86974942,13133216242,6882197163,5425757515,5070005609,5070005609,"unclassified-kra_ERR9709253_","Clupea","BAL_22_M-HER066","SAMEA14369719","Clupea harengus","M-HER066",13133216242,"ERS11963947","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",8.81622648528481,0.00533310081120752,784150214,155
