"cleaned_id","sample_id","species","sample_title","sample_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)","population"
"ERR9709215","unclassified-kra_unclassified-seq_ERR9709215__merged","Clupea","BAL_22_M-HER015","SAMEA14369681","Clupea harengus","M-HER015",14943773286,"ERS11963909","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MÅSE"
"ERR9709216","unclassified-kra_unclassified-seq_ERR9709216__merged","Clupea","BAL_22_M-HER016","SAMEA14369682","Clupea harengus","M-HER016",17054693188,"ERS11963910","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI"
"ERR9709217","unclassified-kra_unclassified-seq_ERR9709217__merged","Clupea","BAL_22_M-HER017","SAMEA14369683","Clupea harengus","M-HER017",17350278406,"ERS11963911","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI"
"ERR9709218","unclassified-kra_unclassified-seq_ERR9709218__merged","Clupea","BAL_22_M-HER018","SAMEA14369684","Clupea harengus","M-HER018",15100581652,"ERS11963912","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI"
"ERR9709219","unclassified-kra_unclassified-seq_ERR9709219__merged","Clupea","BAL_22_M-HER019","SAMEA14369685","Clupea harengus","M-HER019",13004662694,"ERS11963913","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM"
"ERR9709220","unclassified-kra_unclassified-seq_ERR9709220__merged","Clupea","BAL_22_M-HER020","SAMEA14369686","Clupea harengus","M-HER020",11510357634,"ERS11963914","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM"
"ERR9709221","unclassified-kra_unclassified-seq_ERR9709221__merged","Clupea","BAL_22_M-HER021","SAMEA14369687","Clupea harengus","M-HER021",21312931240,"ERS11963915","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM"
"ERR9709224","unclassified-kra_unclassified-seq_ERR9709224__merged","Clupea","BAL_22_M-HER024","SAMEA14369690","Clupea harengus","M-HER024",15155926474,"ERS11963918","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI"
"ERR9709225","unclassified-kra_unclassified-seq_ERR9709225__merged","Clupea","BAL_22_M-HER025","SAMEA14369691","Clupea harengus","M-HER025",21165140292,"ERS11963919","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK"
"ERR9709226","unclassified-kra_unclassified-seq_ERR9709226__merged","Clupea","BAL_22_M-HER026","SAMEA14369692","Clupea harengus","M-HER026",15449552014,"ERS11963920","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK"
"ERR9709227","unclassified-kra_unclassified-seq_ERR9709227__merged","Clupea","BAL_22_M-HER027","SAMEA14369693","Clupea harengus","M-HER027",16062695366,"ERS11963921","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK"
"ERR9709228","unclassified-kra_unclassified-seq_ERR9709228__merged","Clupea","BAL_22_M-HER028","SAMEA14369694","Clupea harengus","M-HER028",14403640548,"ERS11963922","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO"
"ERR9709230","unclassified-kra_unclassified-seq_ERR9709230__merged","Clupea","BAL_22_M-HER030","SAMEA14369696","Clupea harengus","M-HER030",22224888190,"ERS11963924","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO"
"ERR9709231","unclassified-kra_unclassified-seq_ERR9709231__merged","Clupea","BAL_22_M-HER034","SAMEA14369697","Clupea harengus","M-HER034",18161716770,"ERS11963925","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MÅSE"
"ERR9709234","unclassified-kra_unclassified-seq_ERR9709234__merged","Clupea","BAL_22_M-HER037","SAMEA14369700","Clupea harengus","M-HER037",15987533304,"ERS11963928","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MÅSE"
