sample_name	species	population	bam
SRR26417043	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417043_minq20.nocig.realigned.bam
SRR26417044	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417044_minq20.nocig.realigned.bam
SRR26417045	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417045_minq20.nocig.realigned.bam
SRR26417046	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417046_minq20.nocig.realigned.bam
SRR26417048	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417048_minq20.nocig.realigned.bam
SRR26417053	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417053_minq20.nocig.realigned.bam
SRR26417094	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417094_minq20.nocig.realigned.bam
SRR26417095	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417095_minq20.nocig.realigned.bam
SRR26417096	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417096_minq20.nocig.realigned.bam
SRR26417100	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417100_minq20.nocig.realigned.bam
SRR26417101	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417101_minq20.nocig.realigned.bam
SRR26417139	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417139_minq20.nocig.realigned.bam
SRR26417142	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417142_minq20.nocig.realigned.bam
SRR26417143	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417143_minq20.nocig.realigned.bam
SRR26417151	Norway	HAFR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417151_minq20.nocig.realigned.bam
SRR26417173	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417173_minq20.nocig.realigned.bam
SRR26417184	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417184_minq20.nocig.realigned.bam
SRR26417186	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417186_minq20.nocig.realigned.bam
SRR26417242	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417242_minq20.nocig.realigned.bam
SRR26417243	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417243_minq20.nocig.realigned.bam
SRR26417244	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417244_minq20.nocig.realigned.bam
SRR26417248	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417248_minq20.nocig.realigned.bam
SRR26417249	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417249_minq20.nocig.realigned.bam
SRR26417251	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417251_minq20.nocig.realigned.bam
SRR26417257	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417257_minq20.nocig.realigned.bam
SRR26417258	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417258_minq20.nocig.realigned.bam
SRR26417259	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417259_minq20.nocig.realigned.bam
SRR26417261	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417261_minq20.nocig.realigned.bam
SRR26417262	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417262_minq20.nocig.realigned.bam
SRR26417263	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417263_minq20.nocig.realigned.bam
SRR26417264	Norway	INNE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417264_minq20.nocig.realigned.bam
SRR26417268	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417268_minq20.nocig.realigned.bam
SRR26417269	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417269_minq20.nocig.realigned.bam
SRR26417276	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417276_minq20.nocig.realigned.bam
SRR26417277	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417277_minq20.nocig.realigned.bam
SRR26417278	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417278_minq20.nocig.realigned.bam
SRR26417279	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417279_minq20.nocig.realigned.bam
SRR26417281	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417281_minq20.nocig.realigned.bam
SRR26417284	Norway	HAUG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417284_minq20.nocig.realigned.bam
SRR26417308	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417308_minq20.nocig.realigned.bam
SRR26417309	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417309_minq20.nocig.realigned.bam
SRR26417310	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417310_minq20.nocig.realigned.bam
SRR26417311	Norway	DOLV	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417311_minq20.nocig.realigned.bam
SRR26417339	Norway	BUNN	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417339_minq20.nocig.realigned.bam
SRR26417350	Norway	BUNN	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417350_minq20.nocig.realigned.bam
SRR26417373	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417373_minq20.nocig.realigned.bam
SRR26417374	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417374_minq20.nocig.realigned.bam
SRR26417375	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417375_minq20.nocig.realigned.bam
SRR26417377	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417377_minq20.nocig.realigned.bam
SRR26417378	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417378_minq20.nocig.realigned.bam
SRR26417381	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417381_minq20.nocig.realigned.bam
SRR26417382	Norway	OSTR	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417382_minq20.nocig.realigned.bam
SRR26417401	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417401_minq20.nocig.realigned.bam
SRR26417402	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417402_minq20.nocig.realigned.bam
SRR26417403	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417403_minq20.nocig.realigned.bam
SRR26417407	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417407_minq20.nocig.realigned.bam
SRR26417408	Norway	LANG	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417408_minq20.nocig.realigned.bam
SRR26417446	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417446_minq20.nocig.realigned.bam
SRR26417447	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417447_minq20.nocig.realigned.bam
SRR26417448	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417448_minq20.nocig.realigned.bam
SRR26417449	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417449_minq20.nocig.realigned.bam
SRR26417450	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417450_minq20.nocig.realigned.bam
SRR26417451	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417451_minq20.nocig.realigned.bam
SRR26417452	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417452_minq20.nocig.realigned.bam
SRR26417456	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417456_minq20.nocig.realigned.bam
SRR26417457	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417457_minq20.nocig.realigned.bam
SRR26417458	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417458_minq20.nocig.realigned.bam
SRR26417459	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417459_minq20.nocig.realigned.bam
SRR26417460	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417460_minq20.nocig.realigned.bam
SRR26417461	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417461_minq20.nocig.realigned.bam
SRR26417599	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417599_minq20.nocig.realigned.bam
SRR26417608	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417608_minq20.nocig.realigned.bam
SRR26417619	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417619_minq20.nocig.realigned.bam
SRR26417631	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417631_minq20.nocig.realigned.bam
SRR26417632	Norway	VAGS	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417632_minq20.nocig.realigned.bam
SRR26417674	Norway	AGAB	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/oedulis/fastq/Stein_Mortensen_fqs/realigned/SRR26417674_minq20.nocig.realigned.bam
