"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_HER038e","SAMEA14369604","ERR9709139","Clupea harengus","HER038E1bL3",1559895836,"ERS11963833","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER038f","SAMEA14369605","ERR9709140","Clupea harengus","HER038E1bL4",3092461578,"ERS11963834","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER039a","SAMEA14369606","ERR9709141","Clupea harengus","HER039E1bL1",819428076,"ERS11963835","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER039b","SAMEA14369607","ERR9709142","Clupea harengus","HER039E1bL2",1417741114,"ERS11963836","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER039c","SAMEA14369608","ERR9709143","Clupea harengus","HER039E1bL2",6770728864,"ERS11963837","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER039d","SAMEA14369609","ERR9709144","Clupea harengus","HER039E1bL3",27599971166,"ERS11963838","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER039e","SAMEA14369610","ERR9709145","Clupea harengus","HER039E1bL3",818468622,"ERS11963839","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER040","SAMEA14369611","ERR9709146","Clupea harengus","HER040E1bL2",751064034,"ERS11963840","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER041a","SAMEA14369612","ERR9709147","Clupea harengus","HER041E1bL2",3267770464,"ERS11963841","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER041b","SAMEA14369613","ERR9709148","Clupea harengus","HER041E1bL2",68051782758,"ERS11963842","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER042a","SAMEA14369614","ERR9709149","Clupea harengus","HER042E1bL1",1216981782,"ERS11963843","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER042b","SAMEA14369615","ERR9709150","Clupea harengus","HER042E1bL2",1667240528,"ERS11963844","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER042c","SAMEA14369616","ERR9709151","Clupea harengus","HER042E1bL2",40698142120,"ERS11963845","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER043a","SAMEA14369617","ERR9709152","Clupea harengus","HER043E1bL2",988751322,"ERS11963846","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER043b","SAMEA14369618","ERR9709153","Clupea harengus","HER043E1bL2",21246043072,"ERS11963847","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER044","SAMEA14369619","ERR9709154","Clupea harengus","HER044E1bL2",426228002,"ERS11963848","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER045a","SAMEA14369620","ERR9709155","Clupea harengus","HER045E1bL2",718917946,"ERS11963849","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
