sample_accession	run_accession	scientific_name	library_name	base_count	sample_title
SAMEA14369644	ERR9709179	Clupea harengus	HER056E1bL2	1604755218	BAL_22_HER056c
SAMEA14369646	ERR9709181	Clupea harengus	HER056E1bL4	4315181964	BAL_22_HER056e
SAMEA14369651	ERR9709186	Clupea harengus	HER059E1bL3	1127508846	BAL_22_HER059c
SAMEA14369662	ERR9709197	Clupea harengus	HER118E1bL2	889893434	BAL_22_HER118a
SAMEA14369666	ERR9709201	Clupea harengus	HER118E1bL2	8864153302	BAL_22_HER118e
SAMEA14369672	ERR9709206	Clupea harengus	M-HER006	11814029506	BAL_22_M-HER006
SAMEA14369676	ERR9709210	Clupea harengus	M-HER010	17897150576	BAL_22_M-HER010
SAMEA14369679	ERR9709213	Clupea harengus	M-HER013	20490731408	BAL_22_M-HER013
SAMEA14369681	ERR9709215	Clupea harengus	M-HER015	14943773286	BAL_22_M-HER015
SAMEA14369687	ERR9709221	Clupea harengus	M-HER021	21312931240	BAL_22_M-HER021
SAMEA14369692	ERR9709226	Clupea harengus	M-HER026	15449552014	BAL_22_M-HER026
SAMEA14369693	ERR9709227	Clupea harengus	M-HER027	16062695366	BAL_22_M-HER027
SAMEA14369695	ERR9709229	Clupea harengus	M-HER029	13836387002	BAL_22_M-HER029
SAMEA14369697	ERR9709231	Clupea harengus	M-HER034	18161716770	BAL_22_M-HER034
SAMEA14369699	ERR9709233	Clupea harengus	M-HER036	16003218882	BAL_22_M-HER036
SAMEA14369705	ERR9709239	Clupea harengus	M-HER046	19719202042	BAL_22_M-HER046
SAMEA14369707	ERR9709241	Clupea harengus	M-HER053	14738021592	BAL_22_M-HER053
SAMEA14369711	ERR9709245	Clupea harengus	M-HER057	15309945266	BAL_22_M-HER057
SAMEA14369713	ERR9709247	Clupea harengus	M-HER059	15749399962	BAL_22_M-HER059
SAMEA14369714	ERR9709248	Clupea harengus	M-HER061	18900037310	BAL_22_M-HER061
SAMEA14369716	ERR9709250	Clupea harengus	M-HER063	12635043384	BAL_22_M-HER063
SAMEA14369717	ERR9709251	Clupea harengus	M-HER064	12005162588	BAL_22_M-HER064
SAMEA14369718	ERR9709252	Clupea harengus	M-HER065	18323072350	BAL_22_M-HER065
