sample_name	bam	population	colony
SRR5221691	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221691_minq20.nocig.realigned.bam	FAS	C_3518
SRR5221692	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221692_minq20.nocig.realigned.bam	FAS	C_3517
SRR5221693	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221693_minq20.nocig.realigned.bam	FAS	C_3517
SRR5221694	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221694_minq20.nocig.realigned.bam	FAS	C_3517
SRR5221695	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221695_minq20.nocig.realigned.bam	FAS	C_3516
SRR5221696	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221696_minq20.nocig.realigned.bam	FAS	C_3516
SRR5221697	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221697_minq20.nocig.realigned.bam	FAS	C_3516
SRR5221698	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221698_minq20.nocig.realigned.bam	FAS	C_3510
SRR5221700	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221700_minq20.nocig.realigned.bam	FAS	C_3510
SRR5221701	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221701_minq20.nocig.realigned.bam	FAS	C_3508
SRR5221702	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221702_minq20.nocig.realigned.bam	FAS	C_3508
SRR5221704	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221704_minq20.nocig.realigned.bam	FAS	C_3507
SRR5221705	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221705_minq20.nocig.realigned.bam	FAS	C_3507
SRR5221706	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221706_minq20.nocig.realigned.bam	FAS	C_3507
SRR5221707	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221707_minq20.nocig.realigned.bam	FAS	C_3505
SRR5221708	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221708_minq20.nocig.realigned.bam	FAS	C_3505
SRR5221709	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221709_minq20.nocig.realigned.bam	FAS	C_3505
SRR5221710	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221710_minq20.nocig.realigned.bam	FAS	C_3504
SRR5221711	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221711_minq20.nocig.realigned.bam	FAS	C_3504
SRR5221712	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221712_minq20.nocig.realigned.bam	FAS	C_3504
SRR5221713	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221713_minq20.nocig.realigned.bam	FAS	C_3498
SRR5221714	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221714_minq20.nocig.realigned.bam	FAS	C_3498
SRR5221715	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221715_minq20.nocig.realigned.bam	FAS	C_3498
SRR5221716	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221716_minq20.nocig.realigned.bam	MAS	C_3175
SRR5221717	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221717_minq20.nocig.realigned.bam	MAS	C_3175
SRR5221718	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221718_minq20.nocig.realigned.bam	MAS	C_3175
SRR5221719	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221719_minq20.nocig.realigned.bam	MAS	C_3173
SRR5221720	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221720_minq20.nocig.realigned.bam	MAS	C_3173
SRR5221721	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221721_minq20.nocig.realigned.bam	MAS	C_3173
SRR5221722	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221722_minq20.nocig.realigned.bam	MAS	C_3172
SRR5221723	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221723_minq20.nocig.realigned.bam	MAS	C_3172
SRR5221724	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221724_minq20.nocig.realigned.bam	MAS	C_3172
SRR5221725	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221725_minq20.nocig.realigned.bam	MAS	C_3169
SRR5221726	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221726_minq20.nocig.realigned.bam	MAS	C_3169
SRR5221727	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221727_minq20.nocig.realigned.bam	MAS	C_3169
SRR5221728	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221728_minq20.nocig.realigned.bam	MAS	C_3169
SRR5221729	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221729_minq20.nocig.realigned.bam	MAS	C_3165
SRR5221730	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221730_minq20.nocig.realigned.bam	MAS	C_3165
SRR5221731	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221731_minq20.nocig.realigned.bam	MAS	C_3165
SRR5221732	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221732_minq20.nocig.realigned.bam	MAS	C_3164
SRR5221733	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221733_minq20.nocig.realigned.bam	MAS	C_3164
SRR5221734	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221734_minq20.nocig.realigned.bam	MAS	C_3164
SRR5221735	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221735_minq20.nocig.realigned.bam	MAS	C_3163
SRR5221736	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221736_minq20.nocig.realigned.bam	MAS	C_3163
