sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN34152198	SRR24138733	Clupea harengus	PB7_Galve_Baltic_Autumn_rg7	2755465105	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152198	SRR24138734	Clupea harengus	PB7_Galve_Baltic_Autumn_rg6	2786405049	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152198	SRR24138735	Clupea harengus	PB7_Galve_Baltic_Autumn_rg5	2793530072	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152198	SRR24138740	Clupea harengus	PB7_Galve_Baltic_Autumn_rg1	2994494908	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138744	Clupea harengus	PB6_Galve_Baltic_Summer_rg8	3027089136	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152205	SRR24138747	Clupea harengus	AF8_Norway_Atlantic_Spring_rg4	2026894600	AF8_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138748	Clupea harengus	PB6_Galve_Baltic_Summer_rg5	3076737995	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138752	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg5	2523729379	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138753	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg4	2504586522	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138758	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg11	2912671248	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138759	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg10	2868987099	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138760	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg9	3487888476	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138762	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg7	2933593192	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138764	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg5	2968681968	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138766	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg3	2927271386	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152204	SRR24138768	Clupea harengus	AF31_Norway_Atlantic_Spring_rg2	2707408800	AF31_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152192	SRR24138772	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg9	3715923746	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152192	SRR24138775	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg6	3133136461	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152202	SRR24138787	Clupea harengus	AF29_Norway_Atlantic_Spring_rg5	2633315000	AF29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152209	SRR24138788	Clupea harengus	AM8_Norway_Atlantic_Spring_rg5	2249285200	AM8_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152209	SRR24138789	Clupea harengus	AM8_Norway_Atlantic_Spring_rg4	2132945000	AM8_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152208	SRR24138793	Clupea harengus	AM33_Norway_Atlantic_Spring_rg5	2177058800	AM33_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152208	SRR24138795	Clupea harengus	AM33_Norway_Atlantic_Spring_rg3	2191487600	AM33_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
